AREA,PERIMETER,CIT0002_,CIT0002_ID,FPL,STATFIPS,PLACFIPS,NAME,STATE,TOTALPOP,HOUSEUNT,LANDAREA,WATRAREA,LAT,LONG,observed
0.00011,0.07519,139.0,25.0,0,,,,,0,0,0.0,0.0,,,
0.0,0.00592,141.0,32.0,0,,,,,0,0,0.0,0.0,,,
0.0,0.00278,142.0,38.0,0,,,,,0,0,0.0,0.0,,,
0.0,0.00239,143.0,38.0,0,,,,,0,0,0.0,0.0,,,
0.0,0.00602,144.0,38.0,0,,,,,0,0,0.0,0.0,,,
0.0,0.00307,145.0,38.0,0,,,,,0,0,0.0,0.0,,,
0.0,0.00275,146.0,38.0,0,,,,,0,0,0.0,0.0,,,
0.0,0.00631,147.0,42.0,0,,,,,0,0,0.0,0.0,,,
0.0133,0.48483,148.0,19.0,22370,35,22370,Edgewood CDP,NM,3324,1231,140544.0,57.0,+35.083944,-106.174906,
0.0,0.00457,149.0,43.0,0,,,,,0,0,0.0,0.0,,,
1e-05,0.01656,150.0,44.0,0,,,,,0,0,0.0,0.0,,,
0.0,0.00604,151.0,45.0,0,,,,,0,0,0.0,0.0,,,
1e-05,0.01039,153.0,47.0,0,,,,,0,0,0.0,0.0,,,
0.00031,0.13169,154.0,6.0,68150,35,68150,San Jon village,NM,277,130,3125.0,11.0,+35.112968,-103.327467,
0.0,0.00874,155.0,51.0,2000,35,02000,Albuquerque city,NM,384736,166870,342409.0,1631.0,+35.117218,-106.624636,
0.0,0.00515,157.0,49.0,2000,35,02000,Albuquerque city,NM,384736,166870,342409.0,1631.0,+35.117218,-106.624636,
4e-05,0.03095,158.0,52.0,0,,,,,0,0,0.0,0.0,,,
0.0,0.00842,160.0,7.0,68150,35,68150,San Jon village,NM,277,130,3125.0,11.0,+35.112968,-103.327467,
2e-05,0.01906,161.0,54.0,0,,,,,0,0,0.0,0.0,,,
0.00187,0.23357,162.0,9.0,86595,35,86595,Zuni Pueblo CDP,NM,5857,1389,18861.0,0.0,+35.072489,-108.849977,
0.0002,0.08848,163.0,10.0,7670,35,07670,Black Rock CDP,NM,858,244,2028.0,0.0,+35.086013,-108.790015,
9e-05,0.03996,164.0,55.0,0,,,,,0,0,0.0,0.0,,,
0.0,0.00682,165.0,56.0,0,,,,,0,0,0.0,0.0,,,
8e-05,0.0418,166.0,6.0,52300,,,,,0,0,0.0,0.0,,,
0.00777,0.57157,167.0,51.0,2000,35,02000,Albuquerque city,NM,384736,166870,342409.0,1631.0,+35.117218,-106.624636,
0.0,0.00575,168.0,51.0,2000,35,02000,Albuquerque city,NM,384736,166870,342409.0,1631.0,+35.117218,-106.624636,
3e-05,0.0416,172.0,68.0,0,,,,,0,0,0.0,0.0,,,
0.0,0.00357,173.0,66.0,0,,,,,0,0,0.0,0.0,,,
