function,runtime_seconds,target_stdev,target_variance,algo,target_is_continuous,target_num_unique,num_rows,target_is_numerical,column_name,test_accuracy,training_accuracy,test_mse,training_mse,colums,rows,SFS,dataset
run_classifier,2.329216957,,,RFC,FALSE,6,21114,FALSE,relationship,0.765362511,0.944728616,,,14,32562,FALSE,adult
run_regressor,2.546141863,,,RFR,FALSE,6,21114,FALSE,relationship,,,0.807279421,0.266222143,14,32562,FALSE,adult
run_regressor,0.147744894,,,LinR,FALSE,6,21114,FALSE,relationship,,,1.524686663,1.535026544,14,32562,FALSE,adult
run_classifier,3.57126689,,,LogRC,FALSE,5,21114,FALSE,race,0.858421751,0.860234915,,,14,32562,FALSE,adult
run_classifier,0.844787836,,,DTC,FALSE,5,21114,FALSE,race,0.801503095,0.959789713,,,14,32562,FALSE,adult
run_classifier,2.223875999,,,RFC,FALSE,5,21114,FALSE,race,0.853448276,0.96509425,,,14,32562,FALSE,adult
run_regressor,2.811264038,,,RFR,FALSE,5,21114,FALSE,race,,,0.593655565,0.181841643,14,32562,FALSE,adult
run_regressor,0.118071795,,,LinR,FALSE,5,21114,FALSE,race,,,0.680940165,0.670178012,14,32562,FALSE,adult
run_classifier,0.996761084,,,LogRC,FALSE,2,21114,FALSE,sex,0.729332449,0.730084304,,,14,32562,FALSE,adult
run_classifier,0.465506077,,,DTC,FALSE,2,21114,FALSE,sex,0.815428824,0.959979161,,,14,32562,FALSE,adult
run_classifier,2.102810144,,,RFC,FALSE,2,21114,FALSE,sex,0.832891247,0.958179407,,,14,32562,FALSE,adult
run_regressor,2.462039948,,,RFR,FALSE,2,21114,FALSE,sex,,,0.109138422,0.035473251,14,32562,FALSE,adult
run_regressor,0.130382061,,,LinR,FALSE,2,21114,FALSE,sex,,,0.139157453,0.140096618,14,32562,FALSE,adult
run_classifier,81.50065207,0.073173511,0.005354363,LogRC,FALSE,113,21114,TRUE,capital-gain,0.912024757,0.917495501,,,14,32562,FALSE,adult
run_classifier,5.137893915,0.073173511,0.005354363,DTC,FALSE,113,21114,TRUE,capital-gain,0.827917772,0.966751918,,,14,32562,FALSE,adult
run_classifier,7.254867792,0.073173511,0.005354363,RFC,FALSE,113,21114,TRUE,capital-gain,0.900641026,0.978687127,,,14,32562,FALSE,adult
run_regressor,2.470268965,0.073173511,0.005354363,RFR,FALSE,113,21114,TRUE,capital-gain,,,69931187.68,19291773.69,14,32562,FALSE,adult
run_regressor,0.139425993,0.073173511,0.005354363,LinR,FALSE,113,21114,TRUE,capital-gain,,,56053494.27,52140518.87,14,32562,FALSE,adult
run_classifier,61.65207815,0.092540491,0.008563742,LogRC,FALSE,86,21114,TRUE,capital-loss,0.95280725,0.95263806,,,14,32562,FALSE,adult
run_classifier,3.90190506,0.092540491,0.008563742,DTC,FALSE,86,21114,TRUE,capital-loss,0.893125553,0.97755044,,,14,32562,FALSE,adult
run_classifier,5.463299036,0.092540491,0.008563742,RFC,FALSE,86,21114,TRUE,capital-loss,0.946728559,0.987117552,,,14,32562,FALSE,adult
run_regressor,2.451154947,0.092540491,0.008563742,RFR,FALSE,86,21114,TRUE,capital-loss,,,185497.226,61519.53165,14,32562,FALSE,adult
run_regressor,0.154837847,0.092540491,0.008563742,LinR,FALSE,86,21114,TRUE,capital-loss,,,162884.5646,160165.0108,14,32562,FALSE,adult
run_classifier,92.10699606,0.121582993,0.014782424,LogRC,FALSE,92,21114,TRUE,hours-per-week,0.469053935,0.473950933,,,14,32562,FALSE,adult
run_classifier,4.629971981,0.121582993,0.014782424,DTC,FALSE,92,21114,TRUE,hours-per-week,0.282051282,0.855025102,,,14,32562,FALSE,adult
run_classifier,6.27555418,0.121582993,0.014782424,RFC,FALSE,92,21114,TRUE,hours-per-week,0.393788683,0.858719333,,,14,32562,FALSE,adult
run_regressor,3.015625954,0.121582993,0.014782424,RFR,FALSE,92,21114,TRUE,hours-per-week,,,126.7862724,39.9071143,14,32562,FALSE,adult
run_regressor,0.174587965,0.121582993,0.014782424,LinR,FALSE,92,21114,TRUE,hours-per-week,,,129.3531528,125.6797152,14,32562,FALSE,adult
run_classifier,40.41714501,,,LogRC,FALSE,41,21114,FALSE,native-country,0.911251105,0.912143601,,,14,32562,FALSE,adult
run_classifier,2.480419874,,,DTC,FALSE,41,21114,FALSE,native-country,0.856542882,0.970635597,,,14,32562,FALSE,adult
run_classifier,3.56584096,,,RFC,FALSE,41,21114,FALSE,native-country,0.913461538,0.979444918,,,14,32562,FALSE,adult
run_regressor,2.937363148,,,RFR,FALSE,41,21114,FALSE,native-country,,,36.75577316,12.47573532,14,32562,FALSE,adult
run_regressor,0.151654959,,,LinR,FALSE,41,21114,FALSE,native-country,,,34.78929247,36.76754156,14,32562,FALSE,adult
run_classifier,0.178045034,,,LogRC,FALSE,3,438,FALSE,Class Name,0.561497326,0.742009132,,,5,625,TRUE,balance-scale
run_classifier,0.134079218,,,DTC,FALSE,3,438,FALSE,Class Name,0.56684492,0.748858447,,,5,625,TRUE,balance-scale
run_classifier,12.47214079,,,RFC,FALSE,3,438,FALSE,Class Name,0.50802139,0.751141553,,,5,625,TRUE,balance-scale
run_regressor,13.14103413,,,RFR,FALSE,3,438,FALSE,Class Name,,,0.438143296,0.274887981,5,625,TRUE,balance-scale
run_regressor,0.129288912,,,LinR,FALSE,3,438,FALSE,Class Name,,,0.434776782,0.284587837,5,625,TRUE,balance-scale
run_classifier,0.192984104,0.344124866,0.118421923,LogRC,FALSE,4,438,TRUE,Left-Weight,0,0.388127854,,,5,625,TRUE,balance-scale
run_classifier,0.135730028,0.344124866,0.118421923,DTC,FALSE,4,438,TRUE,Left-Weight,0,0.401826484,,,5,625,TRUE,balance-scale
run_classifier,12.34043813,0.344124866,0.118421923,RFC,FALSE,4,438,TRUE,Left-Weight,0,0.408675799,,,5,625,TRUE,balance-scale
run_regressor,13.24253201,0.344124866,0.118421923,RFR,FALSE,4,438,TRUE,Left-Weight,,,5.008175503,0.973620455,5,625,TRUE,balance-scale
run_regressor,0.128574133,0.344124866,0.118421923,LinR,FALSE,4,438,TRUE,Left-Weight,,,5.422960428,1.012645517,5,625,TRUE,balance-scale
run_classifier,0.201406002,0.351149944,0.123306284,LogRC,FALSE,5,438,TRUE,Left-Distance,0.28342246,0.287671233,,,5,625,TRUE,balance-scale
run_classifier,0.132418871,0.351149944,0.123306284,DTC,FALSE,5,438,TRUE,Left-Distance,0.315508021,0.324200913,,,5,625,TRUE,balance-scale
run_classifier,12.44771099,0.351149944,0.123306284,RFC,FALSE,5,438,TRUE,Left-Distance,0.326203209,0.324200913,,,5,625,TRUE,balance-scale
run_regressor,13.26604295,0.351149944,0.123306284,RFR,FALSE,5,438,TRUE,Left-Distance,,,1.52599457,1.657015647,5,625,TRUE,balance-scale
run_regressor,0.128262043,0.351149944,0.123306284,LinR,FALSE,5,438,TRUE,Left-Distance,,,1.753017794,1.830716951,5,625,TRUE,balance-scale
